dirty,truth
1504645843.33,1504645843.33
1504645843.34,1504645843.34
1504645843.35,1504645843.35
1504645844.327,1504645844.33
1504645844.337,1504645844.34
1504645844.347,1504645844.35
1504645844.357,1504645844.36
1504645844.367,1504645844.37
1504645844.377,1504645844.38
1504645844.387,1504645844.39
1504645844.397,1504645844.4
1504645844.407,1504645844.41
1504645844.417,1504645844.42
1504645844.427,1504645844.43
1504645844.437,1504645844.44
1504645844.447,1504645844.45
1504645844.457,1504645844.46
1504645846.49,1504645846.49
1504645846.5,1504645846.5
1504645846.51,1504645846.51
1504645846.52,1504645846.52
1504645846.53,1504645846.53
1504645846.54,1504645846.54
1504645846.55,1504645846.55
1504645846.56,1504645846.56
1504645846.57,1504645846.57
1504645846.58,1504645846.58
1504645846.59,1504645846.59
1504645846.6,1504645846.6
1504645846.61,1504645846.61
1504645846.62,1504645846.62
1504645846.63,1504645846.63
1504645846.64,1504645846.64
1504645846.65,1504645846.65
1504645846.66,1504645846.66
1504645846.67,1504645846.67
1504645846.68,1504645846.68
1504645846.69,1504645846.69
1504645846.7,1504645846.7
1504645846.71,1504645846.71
1504645846.72,1504645846.72
1504645846.73,1504645846.73
1504645846.74,1504645846.74
1504645848.81,1504645848.81
1504645848.82,1504645848.82
1504645848.83,1504645848.83
1504645848.84,1504645848.84
1504645848.85,1504645848.85
1504645848.86,1504645848.86
1504645848.87,1504645848.87
1504645848.88,1504645848.88
1504645848.89,1504645848.89
1504645848.9,1504645848.9
1504645848.91,1504645848.91
1504645848.92,1504645848.92
1504645848.93,1504645848.93
1504645848.94,1504645848.94
1504645848.95,1504645848.95
1504645848.96,1504645848.96
1504645848.97,1504645848.97
1504645848.98,1504645848.98
1504645848.99,1504645848.99
1504645849.0,1504645849.0
1504645849.01,1504645849.01
1504645849.02,1504645849.02
1504645849.03,1504645849.03
1504645849.04,1504645849.04
1504645849.05,1504645849.05
1504645849.06,1504645849.06
1504645849.07,1504645849.07
1504645849.08,1504645849.08
1504645849.09,1504645849.09
1504645849.1,1504645849.1
1504645849.11,1504645849.11
1504645849.12,1504645849.12
1504645849.13,1504645849.13
1504645849.14,1504645849.14
1504645849.15,1504645849.15
1504645849.16,1504645849.16
1504645849.17,1504645849.17
1504645849.18,1504645849.18
1504645849.19,1504645849.19
1504645849.2,1504645849.2
1504645849.21,1504645849.21
1504645849.22,1504645849.22
1504645849.23,1504645849.23
1504645849.24,1504645849.24
1504645849.25,1504645849.25
1504645849.26,1504645849.26
1504645849.27,1504645849.27
1504645849.28,1504645849.28
1504645849.29,1504645849.29
1504645849.3,1504645849.3
1504645849.31,1504645849.31
1504645849.32,1504645849.32
1504645849.33,1504645849.33
1504645849.34,1504645849.34
1504645849.35,1504645849.35
1504645849.36,1504645849.36
1504645849.37,1504645849.37
1504645849.38,1504645849.38
1504645849.39,1504645849.39
1504645849.4,1504645849.4
1504645849.41,1504645849.41
1504645849.42,1504645849.42
1504645849.43,1504645849.43
1504645849.44,1504645849.44
1504645849.45,1504645849.45
1504645849.46,1504645849.46
1504645849.47,1504645849.47
1504645849.48,1504645849.48
1504645849.49,1504645849.49
1504645849.5,1504645849.5
1504645849.51,1504645849.51
1504645849.52,1504645849.52
1504645849.53,1504645849.53
1504645849.54,1504645849.54
1504645849.55,1504645849.55
1504645849.56,1504645849.56
1504645849.57,1504645849.57
1504645849.58,1504645849.58
1504645849.59,1504645849.59
1504645849.6,1504645849.6
1504645849.61,1504645849.61
1504645849.62,1504645849.62
1504645849.63,1504645849.63
1504645849.64,1504645849.64
1504645849.65,1504645849.65
1504645849.66,1504645849.66
1504645849.67,1504645849.67
1504645849.68,1504645849.68
1504645849.69,1504645849.69
1504645849.7,1504645849.7
1504645849.71,1504645849.71
1504645853.453,1504645853.46
1504645853.463,1504645853.47
1504645853.473,1504645853.48
1504645853.483,1504645853.49
1504645853.493,1504645853.5
1504645853.503,1504645853.51
1504645853.513,1504645853.52
1504645853.523,1504645853.53
1504645853.533,1504645853.54
1504645853.543,1504645853.55
1504645853.553,1504645853.56
1504645853.563,1504645853.57
1504645853.573,1504645853.58
1504645853.583,1504645853.59
1504645853.593,1504645853.6
1504645853.603,1504645853.61
1504645853.613,1504645853.62
1504645853.623,1504645853.63
1504645853.633,1504645853.64
1504645853.643,1504645853.65
1504645853.653,1504645853.66
1504645853.663,1504645853.67
1504645853.673,1504645853.68
1504645853.683,1504645853.69
1504645853.693,1504645853.7
1504645853.703,1504645853.71
1504645853.713,1504645853.72
1504645853.723,1504645853.73
1504645853.733,1504645853.74
1504645853.743,1504645853.75
1504645853.753,1504645853.76
1504645853.763,1504645853.77
1504645853.773,1504645853.78
1504645853.783,1504645853.79
1504645853.793,1504645853.8
1504645853.803,1504645853.81
1504645853.813,1504645853.82
1504645853.823,1504645853.83
1504645853.833,1504645853.84
1504645853.843,1504645853.85
1504645853.853,1504645853.86
1504645853.863,1504645853.87
1504645853.873,1504645853.88
1504645853.883,1504645853.89
1504645853.893,1504645853.9
1504645853.903,1504645853.91
1504645853.913,1504645853.92
1504645853.923,1504645853.93
1504645853.933,1504645853.94
1504645853.943,1504645853.95
1504645853.953,1504645853.96
1504645853.963,1504645853.97
1504645853.973,1504645853.98
1504645853.983,1504645853.99
1504645853.993,1504645854.0
1504645854.003,1504645854.01
1504645854.013,1504645854.02
1504645854.023,1504645854.03
1504645854.033,1504645854.04
1504645856.076,1504645856.08
1504645856.086,1504645856.09
1504645856.096,1504645856.1
1504645856.106,1504645856.11
1504645856.116,1504645856.12
1504645856.126,1504645856.13
1504645856.136,1504645856.14
1504645856.146,1504645856.15
1504645856.156,1504645856.16
1504645856.166,1504645856.17
1504645856.176,1504645856.18
1504645856.186,1504645856.19
1504645856.196,1504645856.2
1504645856.206,1504645856.21
1504645856.216,1504645856.22
1504645856.226,1504645856.23
1504645856.236,1504645856.24
1504645856.246,1504645856.25
1504645856.256,1504645856.26
1504645856.266,1504645856.27
1504645856.276,1504645856.28
1504645856.286,1504645856.29
1504645856.296,1504645856.3
1504645856.306,1504645856.31
1504645856.316,1504645856.32
1504645856.326,1504645856.33
1504645856.336,1504645856.34
1504645856.346,1504645856.35
1504645856.356,1504645856.36
1504645856.366,1504645856.37
1504645856.376,1504645856.38
1504645856.386,1504645856.39
1504645856.396,1504645856.4
1504645856.406,1504645856.41
1504645856.416,1504645856.42
1504645856.426,1504645856.43
1504645856.436,1504645856.44
1504645856.446,1504645856.45
1504645856.456,1504645856.46
1504645856.466,1504645856.47
1504645856.476,1504645856.48
1504645856.486,1504645856.49
1504645856.496,1504645856.5
1504645856.506,1504645856.51
1504645856.516,1504645856.52
1504645856.526,1504645856.53
1504645856.536,1504645856.54
1504645856.546,1504645856.55
1504645856.556,1504645856.56
1504645856.566,1504645856.57
1504645856.576,1504645856.58
1504645856.586,1504645856.59
1504645856.596,1504645856.6
1504645856.606,1504645856.61
1504645856.616,1504645856.62
1504645856.626,1504645856.63
1504645856.636,1504645856.64
1504645856.646,1504645856.65
1504645856.656,1504645856.66
1504645856.666,1504645856.67
1504645856.676,1504645856.68
1504645856.686,1504645856.69
1504645856.696,1504645856.7
1504645856.706,1504645856.71
1504645856.716,1504645856.72
1504645856.726,1504645856.73
1504645856.736,1504645856.74
1504645856.746,1504645856.75
1504645856.756,1504645856.76
1504645856.766,1504645856.77
1504645856.776,1504645856.78
1504645856.786,1504645856.79
1504645856.796,1504645856.8
1504645856.806,1504645856.81
1504645856.816,1504645856.82
1504645856.826,1504645856.83
1504645856.836,1504645856.84
1504645856.846,1504645856.85
1504645856.856,1504645856.86
1504645856.866,1504645856.87
1504645856.876,1504645856.88
1504645856.886,1504645856.89
1504645856.896,1504645856.9
1504645856.906,1504645856.91
1504645856.916,1504645856.92
1504645856.926,1504645856.93
1504645856.936,1504645856.94
1504645856.936,1504645856.95
1504645856.936,1504645856.96
1504645856.937,1504645856.97
1504645856.937,1504645856.98
1504645856.937,1504645856.99
1504645856.938,1504645857.0
1504645856.94,1504645857.01
1504645856.955,1504645857.02
1504645856.97,1504645857.03
1504645856.985,1504645857.04
1504645857.0,1504645857.05
1504645857.015,1504645857.06
1504645857.03,1504645857.07
1504645857.045,1504645857.08
1504645857.06,1504645857.09
1504645857.075,1504645857.1
1504645857.09,1504645857.11
1504645857.105,1504645857.12
1504645857.12,1504645857.13
1504645857.135,1504645857.14
1504645857.15,1504645857.15
1504645857.165,1504645857.16
1504645857.18,1504645857.17
1504645857.195,1504645857.18
1504645857.21,1504645857.19
1504645857.225,1504645857.2
1504645857.24,1504645857.21
1504645857.255,1504645857.22
1504645857.27,1504645857.23
1504645857.285,1504645857.24
1504645857.3,1504645857.25
1504645857.315,1504645857.26
1504645857.33,1504645857.27
1504645857.345,1504645857.28
1504645857.36,1504645857.29
1504645857.375,1504645857.3
1504645857.39,1504645857.31
1504645857.405,1504645857.32
1504645857.42,1504645857.33
1504645857.435,1504645857.34
1504645857.45,1504645857.35
1504645857.465,1504645857.36
1504645857.48,1504645857.37
1504645857.495,1504645857.38
1504645857.51,1504645857.39
1504645857.525,1504645857.4
1504645857.54,1504645857.41
1504645857.555,1504645857.42
1504645857.57,1504645857.43
1504645857.585,1504645857.44
1504645857.6,1504645857.45
1504645857.615,1504645857.46
1504645857.63,1504645857.47
1504645857.645,1504645857.48
1504645857.66,1504645857.49
1504645857.675,1504645857.5
1504645857.69,1504645857.51
1504645857.705,1504645857.52
1504645857.72,1504645857.53
1504645857.735,1504645857.54
1504645857.75,1504645857.55
1504645857.765,1504645857.56
1504645857.78,1504645857.57
1504645857.795,1504645857.58
1504645857.81,1504645857.59
1504645857.825,1504645857.6
1504645857.84,1504645857.61
1504645857.855,1504645857.62
1504645857.87,1504645857.63
1504645857.885,1504645857.64
1504645857.9,1504645857.65
1504645857.915,1504645857.66
1504645857.93,1504645857.67
1504645857.945,1504645857.68
1504645857.96,1504645857.69
1504645857.975,1504645857.7
1504645857.99,1504645857.71
1504645858.005,1504645857.72
1504645858.02,1504645857.73
1504645858.035,1504645857.74
1504645858.05,1504645857.75
1504645858.065,1504645857.76
1504645858.08,1504645857.77
1504645858.095,1504645857.78
1504645858.11,1504645857.79
1504645858.125,1504645857.8
1504645858.14,1504645857.81
1504645858.155,1504645857.82
1504645858.17,1504645857.83
1504645858.185,1504645857.84
1504645858.2,1504645857.85
1504645858.215,1504645857.86
1504645858.23,1504645857.87
1504645858.245,1504645857.88
1504645858.26,1504645857.89
1504645858.275,1504645857.9
1504645858.29,1504645857.91
1504645858.305,1504645857.92
1504645858.32,1504645857.93
1504645858.335,1504645857.94
1504645858.35,1504645857.95
1504645858.365,1504645857.96
1504645858.37,1504645857.97
1504645858.38,1504645857.98
1504645858.39,1504645857.99
1504645858.4,1504645858.0
1504645858.41,1504645858.01
1504645858.42,1504645858.02
1504645858.43,1504645858.03
1504645858.44,1504645858.04
1504645858.45,1504645858.05
1504645858.46,1504645858.06
1504645858.47,1504645858.07
1504645858.48,1504645858.08
1504645858.49,1504645858.09
1504645858.5,1504645858.1
1504645858.51,1504645858.11
1504645858.52,1504645858.12
1504645858.53,1504645858.13
1504645858.54,1504645858.14
1504645858.55,1504645858.15
1504645858.56,1504645858.16
1504645858.57,1504645858.17
1504645858.58,1504645858.18
1504645858.59,1504645858.19
1504645858.6,1504645858.2
1504645858.61,1504645858.21
1504645858.62,1504645858.22
1504645858.63,1504645858.23
1504645858.64,1504645858.24
1504645858.65,1504645858.25
1504645858.66,1504645858.26
