Truth,Error
10789416,10789424
10789452,10789449
10789488,10789486
10789524,10789519
10789560,10789564
10789596,10789585
10789632,10789640
10789668,10789665
10789704,10789705
10789740,10789739
10789776,10789783
10789812,10789802
10789848,10789847
10789884,10789883
10789920,10789925
10789956,10789951
10789992,10789992
10790028,10790024
10790064,10790064
10790100,10790102
10790136,10790131
10790172,10790177
10790208,10790212
10790244,10790246
10790280,10790284
10790316,10790313
10790352,10790352
10790388,10790384
10790424,10790423
10790460,10790462
10790496,10790493
10790532,10790531
10794888,10794893
10794924,10794934
10794960,10794962
10794996,10794996
10795032,10795032
10795068,10795068
10795104,10795104
10795140,10795135
10795176,10795174
10795212,10795208
10795248,10795249
10795284,10795283
10795320,10795322
10795356,10795356
10795392,10795396
10795428,10795429
10795464,10795474
10795500,10795491
10795536,10795533
10795572,10795576
10795608,10795620
10795644,10795643
10795680,10795680
10795716,10795715
10795752,10795758
10795788,10795787
10795824,10795827
10795860,10795859
10795896,10795890
10795932,10795933
10795968,10795970
10796004,10796010
10796040,10796040
10796076,10796073
10796112,10796114
10796148,10796149
10796184,10796185
10796220,10796220
10796256,10796261
10796292,10796293
10796328,10796337
10801908,10801908
10801944,10801946
10801980,10801975
10802016,10802021
10802052,10802056
10802088,10802088
10802124,10802128
10802160,10802157
10802196,10802194
10802232,10802232
10802268,10802268
10802304,10802302
10802340,10802337
10802376,10802374
10802412,10802416
10802448,10802439
10802484,10802485
10802520,10802519
10802556,10802559
10802592,10802594
10802628,10802615
10802664,10802666
10802700,10802701
10802736,10802736
10802772,10802770
10802808,10802812
10802844,10802842
10802880,10802889
10802916,10802918
10802952,10802962
10802988,10802985
10803024,10803016
10803060,10803063
10803096,10803100
10803132,10803132
10803168,10803161
10803204,10803202
10803240,10803243
10803276,10803276
10803312,10803312
10803348,10803348
10803384,10803380
10803420,10803418
10803456,10803449
10803492,10803500
10803528,10803526
10803564,10803566
10803600,10803595
10803636,10803639
10803672,10803663
10803708,10803712
10803744,10803744
10803780,10803790
10803816,10803810
10803852,10803852
10803888,10803889
10803924,10803930
10803960,10803958
10803996,10803996
10804032,10804022
10804068,10804064
10804104,10804106
10804140,10804145
10804176,10804175
10804212,10804222
10804248,10804256
10804284,10804284
10804320,10804308
10804356,10804348
10804392,10804389
10804428,10804433
10804464,10804465
10804500,10804490
10804536,10804535
10804572,10804580
10804608,10804607
10804644,10804641
10804680,10804690
10804716,10804716
10804752,10804750
10804788,10804789
10804824,10804824
10804860,10804858
10804896,10804902
10804932,10804937
10804968,10804972
10805004,10805004
10805040,10805045
10805076,10805076
10805112,10805114
10805148,10805153
10805184,10805188
10805220,10805228
10805256,10805258
10805292,10805284
10805328,10805323
10805364,10805370
10805400,10805399
10805436,10805437
10805472,10805468
10805508,10805513
10805544,10805543
10805580,10805587
10805616,10805614
10805652,10805657
10805688,10805691
10805724,10805721
10805760,10805765
10805796,10805792
10805832,10805828
10805868,10805871
10805904,10805901
10805940,10805938
10805976,10805975
10806012,10806007
10806048,10806053
10806084,10806087
10806120,10806120
10806156,10806156
10806192,10806194
10806228,10806236
10806264,10806268
10806300,10806298
10806336,10806339
10806372,10806372
10806408,10806408
10806444,10806453
10806480,10806478
10806516,10806514
10806552,10806543
10806588,10806581
10806624,10806626
10806660,10806657
10806696,10806698
10806732,10806727
10806768,10806765
10806804,10806807
10806840,10806847
10806876,10806878
10806912,10806917
10806948,10806956
10806984,10806989
10807020,10807016
10807056,10807056
10807092,10807095
10807128,10807126
10807164,10807166
10807200,10807193
10807236,10807232
10807272,10807274
10807308,10807297
10807344,10807339
10807380,10807380
10807416,10807408
10807452,10807452
10807488,10807485
10807524,10807523
10807560,10807559
10807596,10807596
10807632,10807630
10807668,10807668
10807704,10807701
10807740,10807742
10807776,10807784
10807812,10807812
10807848,10807848
10807884,10807879
10807920,10807923
10807956,10807953
10807992,10807988
10808028,10808030
10808064,10808064
10808100,10808105
10808136,10808143
10808172,10808170
10808208,10808208
10808244,10808252
10808280,10808284
10808316,10808319
10808352,10808358
10808388,10808385
10808424,10808427
10808460,10808467
10808496,10808504
10808532,10808528
10808568,10808567
10808604,10808605
10808640,10808639
10808676,10808675
10808712,10808715
10808748,10808747
10808784,10808776
10808820,10808821
10808856,10808854
10808892,10808889
10808928,10808921
10808964,10808969
10809000,10808989
10809036,10809028
10809072,10809071
10809108,10809114
10809144,10809150
10809180,10809175
10809216,10809216
10809252,10809245
10809288,10809293
10809324,10809317
10809360,10809360
10809396,10809401
10809432,10809431
10809468,10809475
10809504,10809500
10809540,10809541
10809576,10809580
10809612,10809612
10809648,10809654
10809684,10809686
10809720,10809712
10809756,10809775
10809792,10809795
10809828,10809828
10809864,10809858
10809900,10809900
10809936,10809934
10809972,10809975
10810008,10810009
10810044,10810053
10810080,10810080
10810116,10810118
10810152,10810153
10810188,10810188
10810224,10810224
10810260,10810265
10810296,10810299
10810332,10810329
10810368,10810363
10810404,10810404
10810440,10810445
10810476,10810476
10810512,10810520
10810548,10810545
10810584,10810584
10810620,10810608
10810656,10810654
10810692,10810691
10810728,10810730
10810764,10810772
10810800,10810800
10810836,10810843
10810872,10810875
10810908,10810912
10810944,10810942
10810980,10810986
10811016,10811011
10811052,10811054
10811088,10811084
10811124,10811122
10811160,10811153
10811196,10811194
10811232,10811233
10811268,10811268
10811304,10811298
10811340,10811347
10811376,10811377
10811412,10811417
10811448,10811451
10811484,10811481
10811520,10811511
10811556,10811552
10811592,10811598
10811628,10811623
10811664,10811668
10811700,10811697
10811736,10811737
10811772,10811763
10811808,10811813
10811844,10811844
10816740,10816739
10816776,10816783
10816812,10816807
10816848,10816843
10816884,10816892
10816920,10816923
10816956,10816947
10816992,10816994
10817028,10817029
10817064,10817054
10817100,10817099
10817136,10817136
10817172,10817175
10817208,10817212
10817244,10817244
10817280,10817285
10817316,10817316
10817352,10817348
10817388,10817384
10817424,10817426
10817460,10817451
10817496,10817499
10817532,10817527
10817568,10817567
10817604,10817606
10817640,10817646
10817676,10817667
10817712,10817708
10817748,10817748
10817784,10817782
10824552,10824539
10824588,10824586
10824624,10824625
10824660,10824659
10824696,10824698
10824732,10824728
10824768,10824768
10824804,10824804
10824840,10824840
10824876,10824875
10824912,10824912
10824948,10824952
10824984,10824982
10825020,10825018
10829196,10829195
10829232,10829224
10829268,10829267
10829304,10829301
10829340,10829345
10829376,10829373
10829412,10829417
10829448,10829450
10829484,10829483
10829520,10829520
10829556,10829558
10829592,10829581
10829628,10829629
10829664,10829663
10829700,10829708
10829736,10829733
