Date_Time,Error
10789416,10789416
10789452,10789454
10789488,10789484
10789524,10789527
10789560,10789558
10789596,10789589
10789632,10789629
10789668,10789670
10789704,10789705
10789740,10789735
10789776,10789779
10789812,10789812
10789848,10789850
10789884,10789885
10789920,10789915
10789956,10789957
10789992,10789989
10790028,10790035
10790064,10790067
10790100,10790100
10790136,10790132
10790172,10790172
10790208,10790208
10790244,10790238
10790280,10790291
10790316,10790317
10790352,10790360
10790388,10790383
10790424,10790432
10790460,10790454
10790496,10790493
10790532,10790534
10790568,10790568
10790604,10790593
10790640,10790635
10790676,10790680
10790712,10790722
10790748,10790752
10790784,10790783
10790820,10790823
10790856,10790851
10790892,10790894
10790928,10790922
10790964,10790964
10791000,10791000
10791036,10791040
10791072,10791071
10791108,10791114
10791144,10791144
10791180,10791184
10791216,10791219
10791252,10791243
10791288,10791288
10791324,10791324
10791360,10791357
10791396,10791396
10791432,10791425
10791468,10791470
10791504,10791506
10791540,10791541
10791576,10791588
10791612,10791613
10791648,10791648
10791684,10791681
10791720,10791721
10791756,10791752
10791792,10791798
10791828,10791825
10791864,10791864
10791900,10791909
10791936,10791941
10791972,10791973
10792008,10792014
10792044,10792044
10792080,10792083
10792116,10792116
10792152,10792148
10792188,10792190
10792224,10792228
10792260,10792259
10792296,10792291
10792332,10792330
10792368,10792357
10792404,10792401
10792440,10792435
10792476,10792486
10792512,10792510
10792548,10792541
10792584,10792588
10792620,10792620
10792656,10792656
10792692,10792692
10792728,10792729
10792764,10792763
10792800,10792804
10792836,10792838
10792872,10792870
10792908,10792908
10792944,10792940
10792980,10792981
10793016,10793019
10793052,10793055
10793088,10793091
10793124,10793124
10793160,10793167
10793196,10793195
10793232,10793232
10793268,10793267
10793304,10793304
10793340,10793339
10793376,10793386
10793412,10793414
10793448,10793440
10793484,10793482
10793520,10793513
10793556,10793560
10793592,10793598
10793628,10793626
10793664,10793667
10793700,10793699
10793736,10793738
10793772,10793780
10793808,10793807
10793844,10793838
10793880,10793883
10793916,10793918
10793952,10793955
10793988,10793993
10794024,10794021
10794060,10794051
10794096,10794101
10794132,10794130
10794168,10794162
10794204,10794199
10794240,10794245
10794276,10794276
10794312,10794313
10794348,10794352
10794384,10794381
10794420,10794415
10794456,10794452
10794492,10794487
10794528,10794527
10794564,10794560
10794600,10794600
10794636,10794634
10794672,10794672
10794708,10794711
10794744,10794751
10794780,10794787
10794816,10794816
10794852,10794853
10794888,10794886
10794924,10794929
10794960,10794967
10794996,10794994
10795032,10795035
10795068,10795067
10795104,10795104
10795140,10795140
10795176,10795174
10795212,10795216
10795248,10795241
10797552,10797562
10797588,10797588
10797624,10797619
10797660,10797665
10797696,10797696
10797732,10797740
10797768,10797777
10797804,10797812
10797840,10797839
10797876,10797872
10797912,10797909
10797948,10797948
10797984,10797980
10798020,10798025
10798056,10798059
10798092,10798092
10798128,10798126
10798164,10798167
10798200,10798206
10798236,10798227
10798272,10798273
10798308,10798307
10798344,10798341
10798380,10798379
10798416,10798416
10798452,10798461
10798488,10798488
10798524,10798522
10798560,10798554
10798596,10798599
10798632,10798629
10798668,10798668
10798704,10798707
10798740,10798740
10798776,10798775
10798812,10798812
10798848,10798852
10798884,10798884
10798920,10798921
10798956,10798958
10798992,10798991
10799028,10799029
10799064,10799063
10799100,10799105
10799136,10799138
10799172,10799164
10799208,10799207
10799244,10799249
10799280,10799279
10799316,10799314
10799352,10799356
10799388,10799383
10799424,10799424
10799460,10799462
10799496,10799500
10799532,10799527
10799568,10799562
10799604,10799611
10799640,10799637
10799676,10799676
10799712,10799724
10799748,10799746
10799784,10799773
10799820,10799833
10799856,10799861
10799892,10799893
10799928,10799941
10799964,10799964
10800000,10800007
10800036,10800036
10800072,10800071
10800108,10800111
10800144,10800148
10800180,10800186
10800216,10800221
10800252,10800250
10800288,10800288
10800324,10800333
10800360,10800363
10800396,10800396
10800432,10800438
10800468,10800475
10800504,10800510
10800540,10800538
10800576,10800575
10800612,10800615
10800648,10800653
10800684,10800679
10800720,10800718
10800756,10800755
10800792,10800797
10800828,10800823
10800864,10800877
10800900,10800900
10800936,10800939
10800972,10800983
10801008,10801011
10801044,10801047
10801080,10801080
10801116,10801118
10801152,10801147
10801188,10801188
10801224,10801224
10801260,10801256
10801296,10801301
10801332,10801334
