Truth,Error
145726800,145726796
145726860,145726860
145726920,145726899
145726980,145726996
145727040,145727023
145727100,145727092
145727160,145727165
145727220,145727208
145727280,145727270
145727340,145727331
145727400,145727405
145727460,145727482
145727520,145727520
145727580,145727569
145727640,145727645
145727700,145727695
145727760,145727760
145727820,145727831
145727880,145727873
145727940,145727940
145728000,145727992
145728060,145728059
145728120,145728122
145728180,145728171
145728240,145728237
145728300,145728298
145728360,145728354
145728420,145728409
145728480,145728466
145728540,145728539
145728600,145728598
145728660,145728682
145728720,145728696
145728780,145728781
145728840,145728843
145728900,145728913
145728960,145728965
145729020,145729012
145729080,145729080
145729140,145729145
145729200,145729197
145729260,145729267
145729320,145729302
145729380,145729397
145729440,145729454
145729500,145729497
145729560,145729566
145729620,145729620
145729680,145729672
145729740,145729740
145729800,145729810
145729860,145729857
145729920,145729917
145729980,145729980
145730040,145730044
145730100,145730112
145730160,145730154
145730220,145730225
145730280,145730282
145730340,145730322
145730400,145730396
145730460,145730459
145730520,145730520
145730580,145730583
145730640,145730620
145730700,145730700
145730760,145730754
145730820,145730806
145730880,145730885
145730940,145730947
145731000,145730994
145731060,145731068
145731120,145731117
145731180,145731180
145731240,145731230
145731300,145731315
145731360,145731334
145731420,145731420
145731480,145731486
145731540,145731520
145731600,145731599
145731660,145731660
145731720,145731728
145731780,145731792
145731840,145731836
145731900,145731887
145731960,145731973
145732020,145732032
145732080,145732076
145732140,145732143
145732200,145732203
145732260,145732265
145732320,145732322
145732380,145732394
145732440,145732423
145732500,145732510
145732560,145732563
145732620,145732618
145732680,145732691
145732740,145732717
145732800,145732811
145732860,145732863
145732920,145732909
145732980,145732984
145733040,145733037
145733100,145733125
145733160,145733178
145733220,145733224
145733280,145733273
145733340,145733335
145733400,145733397
145733460,145733455
145733520,145733511
145733580,145733575
145733640,145733638
145733700,145733695
145733760,145733754
145733820,145733811
145733880,145733905
145733940,145733926
145734000,145733990
145734060,145734064
145734120,145734117
145734180,145734184
145734240,145734247
145734300,145734312
145734360,145734367
145734420,145734411
145734480,145734491
145734540,145734523
145734600,145734599
145734660,145734656
145734720,145734710
145734780,145734785
145734840,145734839
145734900,145734910
145734960,145734946
145735020,145735028
145735080,145735084
145735140,145735141
145735200,145735186
145735260,145735258
145735320,145735305
145735380,145735360
145735440,145735472
145735500,145735509
145735560,145735577
145735620,145735616
145735680,145735686
145735740,145735746
145735800,145735806
145735860,145735860
145735920,145735918
145735980,145735960
145736040,145736046
145736100,145736104
145736160,145736171
145736220,145736218
145736280,145736297
145736340,145736336
145736400,145736388
145736460,145736469
145736520,145736516
145736580,145736568
145736640,145736641
145736700,145736707
145736760,145736762
145736820,145736824
145736880,145736921
145736940,145736948
145737000,145737015
145737060,145737041
145737120,145737123
145737180,145737187
145737240,145737237
145737300,145737292
145737360,145737363
145737420,145737417
145737480,145737475
145737540,145737551
145737600,145737613
145737660,145737663
145737720,145737716
145737780,145737785
145737840,145737848
145737900,145737906
145737960,145737946
145738020,145738017
145738080,145738083
145738140,145738146
145738200,145738209
145738260,145738267
145738320,145738309
145738380,145738373
145738440,145738428
145738500,145738518
145738560,145738561
145738620,145738625
145738680,145738690
145738740,145738737
145738800,145738789
145738860,145738856
145738920,145738919
145738980,145738995
145739040,145739048
145739100,145739090
145739160,145739166
145739220,145739227
145739280,145739270
145739340,145739339
145739400,145739382
145739460,145739463
145739520,145739517
145739580,145739567
145739640,145739634
145739700,145739702
145739760,145739755
145739820,145739822
145739880,145739885
145739940,145739932
