truth,dirty
12623904,12623908
12623940,12623939
12623976,12623976
12624012,12624019
12624048,12624053
12624084,12624076
12624120,12624120
12624156,12624152
12624192,12624188
12624228,12624227
12624264,12624261
12624300,12624303
12624336,12624336
12624372,12624369
12624408,12624407
12624444,12624442
12624480,12624483
12624516,12624511
12624552,12624550
12624588,12624580
12624624,12624608
12624660,12624660
12629052,12629052
12629088,12629095
12629124,12629124
12629160,12629152
12629196,12629197
12629232,12629222
12629268,12629262
12629304,12629300
12629340,12629344
12629376,12629369
12629412,12629404
12629448,12629444
12629484,12629477
12629520,12629521
12629556,12629547
12629592,12629583
12629628,12629622
12629664,12629658
12629700,12629705
12629736,12629736
12629772,12629769
12629808,12629798
12629844,12629844
12629880,12629871
12629916,12629905
12629952,12629953
12629988,12629986
12630024,12630024
12630060,12630058
12630096,12630096
12630132,12630125
12630168,12630159
12630204,12630204
12630240,12630232
12630276,12630269
12630312,12630306
12630348,12630345
12630384,12630379
12630420,12630410
12630456,12630449
12630492,12630477
12630528,12630528
12630564,12630552
12630600,12630591
12630636,12630633
12630672,12630665
12630708,12630711
12630744,12630734
12630780,12630778
12630816,12630812
12630852,12630843
12630888,12630887
12630924,12630920
12630960,12630960
12630996,12630996
12631032,12631038
12631068,12631070
12631104,12631099
12631140,12631135
12631176,12631177
12631212,12631212
12631248,12631248
12631284,12631272
12631320,12631316
12631356,12631349
12631392,12631390
12631428,12631424
12631464,12631464
12631500,12631498
12631536,12631536
12631572,12631566
12631608,12631600
12631644,12631638
12631680,12631676
12637152,12637147
12637188,12637179
12637224,12637222
12637260,12637252
12637296,12637296
12637332,12637327
12637368,12637365
12637404,12637403
12637440,12637440
12637476,12637465
12637512,12637507
12637548,12637548
12637584,12637572
12637620,12637618
12637656,12637641
12637692,12637683
12637728,12637725
12637764,12637752
12637800,12637792
12637836,12637825
12637872,12637876
12637908,12637905
12637944,12637943
12637980,12637975
12638016,12638011
12638052,12638040
12638088,12638083
12638124,12638117
12638160,12638160
12638196,12638197
12638232,12638235
12638268,12638268
12638304,12638298
12638340,12638331
12638376,12638376
12638412,12638410
12638448,12638436
12638484,12638482
12638520,12638520
12638556,12638553
12638592,12638588
12638628,12638620
12638664,12638653
12638700,12638700
12638736,12638731
12638772,12638767
12638808,12638812
12638844,12638844
12638880,12638878
12638916,12638913
12638952,12638955
12638988,12638992
12639024,12639024
12639060,12639059
12639096,12639082
12639132,12639129
12639168,12639164
12639204,12639201
12639240,12639240
12639276,12639259
12639312,12639306
12639348,12639346
12639384,12639378
12639420,12639409
12639456,12639456
12639492,12639490
12639528,12639520
12639564,12639562
12639600,12639600
12639636,12639633
12639672,12639672
12639708,12639705
12639744,12639739
12639780,12639771
12639816,12639812
12639852,12639849
12639888,12639888
12639924,12639920
12639960,12639959
12639996,12639988
12640032,12640025
12640068,12640064
12640104,12640095
12640140,12640140
12640176,12640175
12640212,12640210
12640248,12640246
12640284,12640290
12640320,12640314
12640356,12640341
12640392,12640389
12640428,12640424
12640464,12640458
12640500,12640492
12640536,12640530
12640572,12640569
12640608,12640602
12640644,12640652
12640680,12640672
12640716,12640709
12640752,12640737
12640788,12640786
12640824,12640810
12640860,12640854
12640896,12640891
12640932,12640925
12640968,12640972
12641004,12641004
12641040,12641042
12641076,12641068
12641112,12641113
12641148,12641147
12641184,12641184
12641220,12641221
12641256,12641248
12641292,12641286
12641328,12641328
12641364,12641347
12641400,12641403
12641436,12641435
12641472,12641468
12641508,12641506
12641544,12641535
12641580,12641575
12641616,12641617
12641652,12641654
12641688,12641697
12641724,12641720
12641760,12641753
12641796,12641790
12641832,12641823
12641868,12641864
12641904,12641902
12641940,12641936
12641976,12641977
12642012,12642007
12642048,12642043
12642084,12642078
12642120,12642108
12642156,12642145
