date,Error
13254624,13254622
13254660,13254660
13254696,13254686
13254732,13254740
13254768,13254760
13254804,13254800
13254840,13254842
13254876,13254870
13254912,13254907
13254948,13254944
13254984,13254986
13255020,13255031
13255056,13255056
13255092,13255087
13255128,13255130
13255164,13255162
13255200,13255200
13255236,13255241
13255272,13255269
13255308,13255308
13255344,13255340
13255380,13255380
13255416,13255417
13255452,13255448
13255488,13255487
13255524,13255523
13255560,13255557
13255596,13255591
13255632,13255625
13255668,13255668
13255704,13255703
13255740,13255751
13255776,13255764
13255812,13255812
13255848,13255849
13255884,13255890
13255920,13255922
13255956,13255952
13255992,13255992
13256028,13256030
13256064,13256063
13256100,13256103
13256136,13256127
13256172,13256180
13256208,13256215
13256244,13256243
13256280,13256283
13256316,13256316
13256352,13256348
13256388,13256388
13256424,13256429
13256460,13256459
13256496,13256495
13256532,13256532
13256568,13256570
13256604,13256610
13256640,13256637
13256676,13256678
13256712,13256713
13256748,13256739
13256784,13256782
13256820,13256820
13256856,13256856
13256892,13256893
13256928,13256918
13256964,13256964
13257000,13256997
13257036,13257029
13257072,13257074
13257108,13257111
13257144,13257141
13257180,13257184
13257216,13257215
13257252,13257252
13257288,13257283
13257324,13257331
13257360,13257347
13257396,13257396
13257432,13257435
13257468,13257458
13257504,13257504
13257540,13257540
13257576,13257580
13257612,13257618
13257648,13257646
13257684,13257678
13257720,13257726
13257756,13257762
13257792,13257790
13257828,13257829
13257864,13257865
13257900,13257902
13257936,13257937
13257972,13257979
13258008,13258000
13258044,13258049
13258080,13258081
13258116,13258115
13258152,13258157
13258188,13258177
13258224,13258229
13258260,13258261
13258296,13258291
13258332,13258334
13258368,13258367
13258404,13258416
13258440,13258449
13258476,13258478
13258512,13258509
13258548,13258546
13258584,13258583
13258620,13258618
13258656,13258652
13258692,13258690
13258728,13258727
13258764,13258762
13258800,13258797
13258836,13258832
13258872,13258884
13258908,13258901
13258944,13258939
13258980,13258982
13259016,13259015
13259052,13259054
13259088,13259091
13259124,13259130
13259160,13259163
13259196,13259192
13259232,13259237
13259268,13259260
13259304,13259304
13259340,13259338
13259376,13259371
13259412,13259414
13259448,13259448
13259484,13259489
13259520,13259513
13259556,13259560
13259592,13259594
13259628,13259628
13259664,13259657
13259700,13259699
13259736,13259729
13259772,13259762
13259808,13259824
13259844,13259848
13259880,13259888
13259916,13259914
13259952,13259955
13259988,13259991
13260024,13260027
13260060,13260060
13260096,13260095
13260132,13260122
13260168,13260171
13260204,13260206
13260240,13260245
13260276,13260275
13260312,13260320
13260348,13260346
13260384,13260378
13260420,13260424
13260456,13260454
13260492,13260486
13260528,13260528
13260564,13260567
13260600,13260601
13260636,13260638
13260672,13260692
13260708,13260712
13260744,13260751
13260780,13260771
13260816,13260817
13260852,13260855
13260888,13260887
13260924,13260920
13260960,13260961
13260996,13260995
13261032,13261030
13261068,13261073
13261104,13261110
13261140,13261141
13261176,13261174
13261212,13261214
13261248,13261252
13261284,13261287
13261320,13261313
13261356,13261355
13261392,13261393
13261428,13261431
13261464,13261468
13261500,13261503
13261536,13261531
13261572,13261569
13261608,13261602
13261644,13261653
13261680,13261680
13261716,13261718
13261752,13261757
13261788,13261787
13261824,13261819
13261860,13261858
13261896,13261896
13261932,13261939
13261968,13261972
13262004,13261999
13262040,13262043
13262076,13262079
13262112,13262107
13262148,13262148
13262184,13262175
13262220,13262221
13262256,13262255
13262292,13262286
13262328,13262325
13262364,13262365
13262400,13262398
13262436,13262437
13262472,13262474
13262508,13262504
13262544,13262543
13262580,13262590
13262616,13262616
13262652,13262648
13262688,13262688
13262724,13262718
13262760,13262765
13262796,13262797
13262832,13262837
13262868,13262872
13262904,13262905
13262940,13262944
13262976,13262976
13263012,13263009
13263048,13263043
13263084,13263082
13263120,13263108
13263156,13263165
13263192,13263184
13263228,13263228
13263264,13263258
13263300,13263290
13263336,13263336
13263372,13263371
13263408,13263408
13263444,13263446
13263480,13263477
13263516,13263517
13263552,13263554
13263588,13263587
13263624,13263623
13263660,13263662
13263696,13263696
13263732,13263732
13263768,13263757
13263804,13263804
13263840,13263841
13263876,13263876
13263912,13263913
13263948,13263957
13263984,13263984
13264020,13264023
13264056,13264052
13264092,13264088
13264128,13264126
13264164,13264159
13264200,13264200
13264236,13264232
13264272,13264272
13264308,13264301
13264344,13264336
13264380,13264377
13264416,13264411
13264452,13264449
